timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610528591406,217,dummy origin,200,OK,Csae 1 1-1,text,true,,114,0,3,3,null,24,0,4
1610528591406,270,dummy origin,200,OK,Csae 1 1-3,text,true,,114,0,3,3,null,2,0,1
1610528591410,274,dummy origin,200,OK,Csae 1 1-2,text,true,,114,0,3,3,null,33,0,1
1610528591709,227,load root,200,OK,Csae 1 1-2,text,true,,2433,360,3,3,https://192.168.78.11/dcim/,221,0,211
1610528591709,222,load root-0,301,Moved Permanently,Csae 1 1-2,text,true,,458,117,3,3,https://192.168.78.11/,221,0,211
1610528591933,2,load root-1,301,Moved Permanently,Csae 1 1-2,text,true,,459,121,3,3,https://192.168.78.11/dcim,2,0,0
1610528591935,1,load root-2,200,OK,Csae 1 1-2,text,true,,1516,122,3,3,https://192.168.78.11/dcim/,1,0,0
1610528591709,229,load root,200,OK,Csae 1 1-1,text,true,,2433,360,3,3,https://192.168.78.11/dcim/,226,0,211
1610528591709,226,load root-0,301,Moved Permanently,Csae 1 1-1,text,true,,458,117,3,3,https://192.168.78.11/,226,0,211
1610528591935,2,load root-1,301,Moved Permanently,Csae 1 1-1,text,true,,459,121,3,3,https://192.168.78.11/dcim,1,0,0
1610528591937,1,load root-2,200,OK,Csae 1 1-1,text,true,,1516,122,3,3,https://192.168.78.11/dcim/,1,0,0
1610528591709,230,load root,200,OK,Csae 1 1-3,text,true,,2433,360,3,3,https://192.168.78.11/dcim/,220,0,213
1610528591709,224,load root-0,301,Moved Permanently,Csae 1 1-3,text,true,,458,117,3,3,https://192.168.78.11/,220,0,213
1610528591933,2,load root-1,301,Moved Permanently,Csae 1 1-3,text,true,,459,121,3,3,https://192.168.78.11/dcim,2,0,0
1610528591935,4,load root-2,200,OK,Csae 1 1-3,text,true,,1516,122,3,3,https://192.168.78.11/dcim/,4,0,0
1610528591940,2,runtime-es2015.js,200,OK,Csae 1 1-3,text,true,,9722,139,3,3,https://192.168.78.11/dcim/runtime-es2015.js,2,0,0
1610528591938,5,runtime-es2015.js,200,OK,Csae 1 1-2,text,true,,9722,139,3,3,https://192.168.78.11/dcim/runtime-es2015.js,5,0,0
