timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626730502739,10,CONNECTOR_ATTRIBUTE,200,,Csae 1 1-4,text,true,,1212,986,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/CONNECTOR_ATTRIBUTE,10,0,0
1626730502737,13,20000,200,,Csae 1 1-12,text,true,,560,977,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/cord/20000,13,0,0
1626730502382,369,locationDropdown?listType=itemFilter,200,,Csae 1 1-3,text,true,,280046,985,15,15,https://192.168.78.176/dcTrackApp/api/v2/rbac/locationDropdown?listType=itemFilter,367,0,0
1626730502742,10,CONNECTOR_ATTRIBUTE,200,,Csae 1 1-15,text,true,,1212,986,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/CONNECTOR_ATTRIBUTE,10,0,0
1626730502746,8,voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=2102,200,,Csae 1 1-14,text,true,,334,1074,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=2102,8,0,0
1626730502749,11,CONTRACT_NUMBER,200,,Csae 1 1-10,text,true,,321,982,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/CONTRACT_NUMBER,11,0,0
1626730502750,10,30000,200,,Csae 1 1-12,text,true,,1267,977,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/cord/30000,10,0,0
1626730502754,6,phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=5001,200,,Csae 1 1-14,text,true,,476,1015,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=5001,6,0,0
1626730502746,14,CONNECTOR_ATTRIBUTE,200,,Csae 1 1-6,text,true,,1212,986,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/CONNECTOR_ATTRIBUTE,14,0,0
1626730502750,10,CORD_TYPE,200,,Csae 1 1-4,text,true,,1085,976,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/CORD_TYPE,10,0,0
1626730502752,9,CORD_TYPE,200,,Csae 1 1-15,text,true,,1085,976,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/CORD_TYPE,9,0,0
1626730502760,12,phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=2103,200,,Csae 1 1-14,text,true,,347,1015,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=2103,12,0,0
1626730502760,12,CORD_TYPE,200,,Csae 1 1-6,text,true,,1085,976,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/CORD_TYPE,12,0,0
1626730502761,12,BUDGET_STATUS,200,,Csae 1 1-15,text,true,,476,980,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/BUDGET_STATUS,12,0,0
1626730502760,14,ALL_PARTS_ACTION,200,,Csae 1 1-12,text,true,,1503,983,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/ALL_PARTS_ACTION,14,0,0
1626730501867,904,get contrast data,200,"Number of samples in transaction : 15, number of failing samples : 0",Csae 1 1-12,,true,,703154,15015,15,15,null,892,3,0
1626730502761,14,BUDGET_STATUS,200,,Csae 1 1-4,text,true,,476,980,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/BUDGET_STATUS,14,0,0
1626730502773,2,font-awesome.json,200,OK,Csae 1 1-15,text,true,,39824,970,15,15,https://192.168.78.176/dcim/assets/static/lookups/font-awesome.json,1,0,0
1626730502692,80,get users information,200,"Number of samples in transaction : 8, number of failing samples : 0",Csae 1 1-15,,true,,52831,7823,15,15,null,79,3,0
1626730502775,0,font-awesome.json,200,OK,Csae 1 1-4,text,true,,39824,970,15,15,https://192.168.78.176/dcim/assets/static/lookups/font-awesome.json,0,0,0
1626730502687,84,get users information,200,"Number of samples in transaction : 8, number of failing samples : 0",Csae 1 1-4,,true,,52831,7823,15,15,null,84,5,0
1626730502774,2,dashboard-folders.json,200,OK,Csae 1 1-12,text,true,,723,975,15,15,https://192.168.78.176/dcim/assets/static/lookups/dashboard-folders.json,2,0,0
1626730502760,18,CONNECTOR_ATTRIBUTE,200,,Csae 1 1-10,text,true,,1212,986,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/CONNECTOR_ATTRIBUTE,18,0,0
1626730502776,2,chart-type.json,200,OK,Csae 1 1-12,text,true,,2156,968,15,15,https://192.168.78.176/dcim/assets/static/lookups/chart-type.json,2,0,0
1626730502772,6,phaseDDL?portType=20003&inletPhaseCode=-1&modelSubClassCode=2103,200,,Csae 1 1-14,text,true,,398,1015,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseDDL?portType=20003&inletPhaseCode=-1&modelSubClassCode=2103,6,0,0
1626730502778,4,gauge-type.json,200,OK,Csae 1 1-12,text,true,,512,968,15,15,https://192.168.78.176/dcim/assets/static/lookups/gauge-type.json,4,0,0
1626730502772,10,BUDGET_STATUS,200,,Csae 1 1-6,text,true,,476,980,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/BUDGET_STATUS,10,0,0
1626730502776,7,connectors?typeName=Data,200,,Csae 1 1-4,text,true,,40083,976,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Data,7,0,0
1626730502776,7,connectors?typeName=Data,200,,Csae 1 1-15,text,true,,40083,976,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Data,7,0,0
1626730502782,1,font-awesome.json,200,OK,Csae 1 1-6,text,true,,39824,970,15,15,https://192.168.78.176/dcim/assets/static/lookups/font-awesome.json,1,0,0
1626730502782,2,chart-axis-tick-format.json,200,OK,Csae 1 1-12,text,true,,1275,980,15,15,https://192.168.78.176/dcim/assets/static/lookups/chart-axis-tick-format.json,2,0,0
1626730502694,87,get users information,200,"Number of samples in transaction : 8, number of failing samples : 0",Csae 1 1-6,,true,,52831,7823,15,15,null,87,3,0
1626730502784,2,donut-label-type.json,200,OK,Csae 1 1-12,text,true,,491,974,15,15,https://192.168.78.176/dcim/assets/static/lookups/donut-label-type.json,2,0,0
1626730502783,7,connectors?typeName=Power,200,,Csae 1 1-4,text,true,,93025,977,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Power,7,0,0
1626730502784,7,connectors?typeName=Data,200,,Csae 1 1-6,text,true,,40083,976,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Data,6,0,0
1626730502778,13,CORD_TYPE,200,,Csae 1 1-10,text,true,,1085,976,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/CORD_TYPE,13,0,0
1626730502785,9,connectors?typeName=Power,200,,Csae 1 1-15,text,true,,93040,977,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Power,6,0,0
1626730502790,7,connectors?typeName=Power (DC),200,,Csae 1 1-4,text,true,,737,986,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Power+%28DC%29,7,0,0
1626730502791,13,BUDGET_STATUS,200,,Csae 1 1-10,text,true,,476,980,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/BUDGET_STATUS,13,0,0
1626730502786,18,PART_ACTION,200,,Csae 1 1-12,text,true,,962,978,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/PART_ACTION,18,0,0
1626730502791,13,connectors?typeName=Power,200,,Csae 1 1-6,text,true,,93032,977,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Power,6,0,0
1626730502798,7,connectors?typeName=Breaker (AC),200,,Csae 1 1-4,text,true,,1574,988,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Breaker+%28AC%29,7,0,0
1626730502795,10,connectors?typeName=Power (DC),200,,Csae 1 1-15,text,true,,737,986,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Power+%28DC%29,10,0,0
1626730502804,1,font-awesome.json,200,OK,Csae 1 1-10,text,true,,39824,970,15,15,https://192.168.78.176/dcim/assets/static/lookups/font-awesome.json,1,0,0
1626730502717,88,get users information,200,"Number of samples in transaction : 8, number of failing samples : 0",Csae 1 1-10,,true,,52831,7823,15,15,null,88,0,0
1626730502804,1,check-box.json,200,OK,Csae 1 1-12,text,true,,464,967,15,15,https://192.168.78.176/dcim/assets/static/lookups/check-box.json,1,0,0
1626730502805,6,connectors?typeName=Breaker (DC),200,,Csae 1 1-4,text,true,,2010,988,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Breaker+%28DC%29,5,0,0
1626730502804,7,connectors?typeName=Power (DC),200,,Csae 1 1-6,text,true,,737,986,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Power+%28DC%29,7,0,0
1626730502806,5,boolean-opts.json,200,OK,Csae 1 1-12,text,true,,464,970,15,15,https://192.168.78.176/dcim/assets/static/lookups/boolean-opts.json,5,0,0
1626730502805,7,connectors?typeName=Breaker (AC),200,,Csae 1 1-15,text,true,,1574,988,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Breaker+%28AC%29,7,0,0
1626730502806,12,connectors?typeName=Data,200,,Csae 1 1-10,text,true,,40083,976,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Data,9,0,0
1626730502811,7,voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=5001,200,,Csae 1 1-4,text,true,,663,1074,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=5001,7,0,0
