timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,API Start Time,API End Time
1626730186184,13200,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,20013,33213
1626730186184,3919,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,20013,23932
1626730186184,12000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,20013,32013
1626730187184,13201,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,21013,34214
1626730187184,376,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,21013,21389
1626730187184,12000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,21013,33013
1626730188185,13264,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,22014,35278
1626730188185,7884,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,22014,29898
1626730188185,12000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,22014,34014
1626730189186,13274,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,23015,36289
1626730189186,10709,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,23015,33724
1626730189186,16000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,23015,39015
1626730190186,13278,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,24015,37293
1626730190186,5764,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,24015,29779
1626730190186,16000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,24015,40015
1626730191187,13299,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,25016,38315
1626730191187,7509,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,25016,32525
1626730191187,18000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,25016,43016
1626730192187,13299,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,26016,39315
1626730192187,501,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,26016,26517
1626730192187,14000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,26016,40016
1626730193188,13299,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,27017,40316
